[warning] electron/events/eventTypes.UptimeEvents.internal:monitor:manual-check-completed.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:status-changed.__type.siteId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:status-changed.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:up.__type.monitor (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:up.__type.site (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:up.__type.siteId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitor:up.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitoring:started.__type.monitorCount (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitoring:started.__type.siteCount (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitoring:started.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitoring:stopped.__type.activeMonitors (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitoring:stopped.__type.reason (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.monitoring:stopped.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:metric.__type.category (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:metric.__type.metric (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:metric.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:metric.__type.unit (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:metric.__type.value (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:warning.__type.actual (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:warning.__type.metric (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:warning.__type.suggestion (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:warning.__type.threshold (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.performance:warning.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:added.__type.site (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:added.__type.source (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:added.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:cache-miss.__type.backgroundLoading (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:cache-miss.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:cache-miss.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:cache-miss.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:cache-updated.__type.identifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:cache-updated.__type.operation (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:cache-updated.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:removed.__type.cascade (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:removed.__type.siteId (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:removed.__type.siteName (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:removed.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:updated.__type.previousSite (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:updated.__type.site (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:updated.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.site:updated.__type.updatedFields (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.sites:state-synchronized.__type.action (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.sites:state-synchronized.__type.siteIdentifier (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.sites:state-synchronized.__type.source (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.sites:state-synchronized.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:error.__type.context (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:error.__type.error (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:error.__type.recovery (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:error.__type.severity (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:error.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:shutdown.__type.reason (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:shutdown.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:shutdown.__type.uptime (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:startup.__type.environment (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:startup.__type.timestamp (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/events/eventTypes.UptimeEvents.system:startup.__type.version (Property), defined in uptime-watcher/electron/events/eventTypes.ts, does not have any documentation
[warning] electron/managers/ConfigurationManager.ConfigurationManager.getCacheStats.__type.configuration (Property), defined in uptime-watcher/electron/managers/ConfigurationManager.ts, does not have any documentation
[warning] electron/managers/ConfigurationManager.ConfigurationManager.getCacheStats.__type.validation (Property), defined in uptime-watcher/electron/managers/ConfigurationManager.ts, does not have any documentation
[warning] electron/managers/DatabaseManager.DatabaseManager.downloadBackup.__type.buffer (Property), defined in uptime-watcher/electron/managers/DatabaseManager.ts, does not have any documentation
[warning] electron/managers/DatabaseManager.DatabaseManager.downloadBackup.__type.fileName (Property), defined in uptime-watcher/electron/managers/DatabaseManager.ts, does not have any documentation
[warning] electron/managers/MonitorManager.MonitorManagerDependencies.repositories.__type.history (Property), defined in uptime-watcher/electron/managers/MonitorManager.ts, does not have any documentation
[warning] electron/managers/MonitorManager.MonitorManagerDependencies.repositories.__type.monitor (Property), defined in uptime-watcher/electron/managers/MonitorManager.ts, does not have any documentation
[warning] electron/managers/MonitorManager.MonitorManagerDependencies.repositories.__type.site (Property), defined in uptime-watcher/electron/managers/MonitorManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.configurationManager (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.eventEmitter (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.monitoringOperations (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.repositories (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.repositories.__type.databaseService (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.repositories.__type.historyRepository (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.repositories.__type.monitorRepository (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.repositories.__type.settingsRepository (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.repositories.__type.siteRepository (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.siteRepositoryService (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.sitesCache (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/SiteManager.SiteManager.siteWriterService (Property), defined in uptime-watcher/electron/managers/SiteManager.ts, does not have any documentation
[warning] electron/managers/validators/interfaces.ValidationResult.errors (Property), defined in uptime-watcher/electron/managers/validators/interfaces.ts, does not have any documentation
[warning] electron/managers/validators/interfaces.ValidationResult.success (Property), defined in uptime-watcher/electron/managers/validators/interfaces.ts, does not have any documentation
[warning] electron/services/application/ApplicationService.ApplicationService (Class), defined in uptime-watcher/electron/services/application/ApplicationService.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.IDatabaseCommand.validate.__type.__type.errors (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.IDatabaseCommand.validate.__type.__type.isValid (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DatabaseCommand.cache (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DatabaseCommand.eventEmitter (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DatabaseCommand.serviceFactory (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DatabaseCommand.validate.__type.errors (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DatabaseCommand.validate.__type.isValid (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DatabaseCommandExecutor.executedCommands (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.__type.buffer (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.__type.fileName (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.execute.__type.buffer (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.execute.__type.fileName (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.validate.__type.errors (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.validate.__type.isValid (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.cache (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.eventEmitter (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.DownloadBackupCommand.serviceFactory (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ExportDataCommand.validate.__type.errors (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ExportDataCommand.validate.__type.isValid (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ExportDataCommand.cache (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ExportDataCommand.eventEmitter (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ExportDataCommand.serviceFactory (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ImportDataCommand.backupSites (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ImportDataCommand.data (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ImportDataCommand.validate.__type.errors (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ImportDataCommand.validate.__type.isValid (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ImportDataCommand.cache (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
[warning] electron/services/commands/DatabaseCommands.ImportDataCommand.eventEmitter (Property), defined in uptime-watcher/electron/services/commands/DatabaseCommands.ts, does not have any documentation
